theta_deg,F_norm,D_ratio,D_dB
0.000000,0.000000,0.000000,-100.000000
0.500000,-0.013943,0.000472,-33.262722
1.000000,-0.027884,0.001887,-27.242666
1.500000,-0.041821,0.004244,-23.721750
2.000000,-0.055753,0.007544,-21.224251
2.500000,-0.069678,0.011782,-19.287697
3.000000,-0.083595,0.016959,-17.706093
3.500000,-0.097500,0.023070,-16.369560
4.000000,-0.111393,0.030113,-15.212510
4.500000,-0.125271,0.038083,-14.192644
5.000000,-0.139133,0.046978,-13.281081
5.500000,-0.152976,0.056791,-12.457228
6.000000,-0.166797,0.067517,-11.705881
6.500000,-0.180596,0.079150,-11.015498
7.000000,-0.194369,0.091683,-10.377112
7.500000,-0.208115,0.105109,-9.783616
8.000000,-0.221829,0.119418,-9.229286
8.500000,-0.235511,0.134603,-8.709444
9.000000,-0.249157,0.150653,-8.220218
9.500000,-0.262763,0.167557,-7.758368
10.000000,-0.276328,0.185304,-7.321157
10.500000,-0.289848,0.203880,-6.906252
11.000000,-0.303320,0.223272,-6.511652
11.500000,-0.316739,0.243466,-6.135624
12.000000,-0.330104,0.264444,-5.776661
12.500000,-0.343409,0.286191,-5.433445
13.000000,-0.356650,0.308687,-5.104818
13.500000,-0.369825,0.331913,-4.789754
14.000000,-0.382927,0.355849,-4.487345
14.500000,-0.395954,0.380471,-4.196783
15.000000,-0.408899,0.405756,-3.917345
15.500000,-0.421759,0.431680,-3.648384
16.000000,-0.434528,0.458214,-3.389317
16.500000,-0.447201,0.485331,-3.139621
17.000000,-0.459772,0.513000,-2.898823
17.500000,-0.472236,0.541191,-2.666493
18.000000,-0.484586,0.569869,-2.442246
18.500000,-0.496818,0.599000,-2.225729
19.000000,-0.508923,0.628547,-2.016622
19.500000,-0.520897,0.658471,-1.814636
20.000000,-0.532731,0.688731,-1.619507
20.500000,-0.544420,0.719285,-1.430993
21.000000,-0.555955,0.750088,-1.248877
21.500000,-0.567330,0.781095,-1.072959
22.000000,-0.578536,0.812258,-0.903060
22.500000,-0.589566,0.843526,-0.739014
23.000000,-0.600412,0.874848,-0.580673
23.500000,-0.611066,0.906170,-0.427903
24.000000,-0.621519,0.937436,-0.280582
24.500000,-0.631762,0.968590,-0.138600
25.000000,-0.641786,0.999572,-0.001859
25.500000,-0.651583,1.030321,0.129727
26.000000,-0.661143,1.060776,0.256236
26.500000,-0.670456,1.090872,0.377736
27.000000,-0.679513,1.120543,0.494286
27.500000,-0.688304,1.149724,0.605937
28.000000,-0.696819,1.178347,0.712730
28.500000,-0.705048,1.206341,0.814702
29.000000,-0.712980,1.233638,0.911879
29.500000,-0.720605,1.260167,1.004281
30.000000,-0.727913,1.285856,1.091922
30.500000,-0.734893,1.310633,1.174809
31.000000,-0.741533,1.334425,1.252943
31.500000,-0.747824,1.357162,1.326316
32.000000,-0.753753,1.378769,1.394916
32.500000,-0.759311,1.399177,1.458726
33.000000,-0.764486,1.418312,1.517719
33.500000,-0.769266,1.436106,1.571865
34.000000,-0.773641,1.452489,1.621128
34.500000,-0.777600,1.467392,1.665462
35.000000,-0.781132,1.480751,1.704820
35.500000,-0.784225,1.492500,1.739144
36.000000,-0.786868,1.502579,1.768373
36.500000,-0.789051,1.510927,1.792436
37.000000,-0.790763,1.517490,1.811258
37.500000,-0.791993,1.522213,1.824755
38.000000,-0.792730,1.525048,1.832836
38.500000,-0.792964,1.525950,1.835402
39.000000,-0.792685,1.524877,1.832347
39.500000,-0.791883,1.521793,1.823555
40.000000,-0.790548,1.516667,1.808902
40.500000,-0.788671,1.509473,1.788254
41.000000,-0.786243,1.500191,1.761466
41.500000,-0.783254,1.488807,1.728383
42.000000,-0.779696,1.475312,1.688839
42.500000,-0.775561,1.459706,1.642653
43.000000,-0.770841,1.441994,1.589633
43.500000,-0.765529,1.422188,1.529571
44.000000,-0.759618,1.400310,1.462243
44.500000,-0.753102,1.376388,1.387408
45.000000,-0.745974,1.350457,1.304807
45.500000,-0.738229,1.322561,1.214158
46.000000,-0.729863,1.292754,1.115157
46.500000,-0.720870,1.261095,1.007477
47.000000,-0.711249,1.227654,0.890760
47.500000,-0.700994,1.192510,0.764619
48.000000,-0.690105,1.155748,0.628631
48.500000,-0.678578,1.117464,0.482335
49.000000,-0.666415,1.077761,0.325226
49.500000,-0.653613,1.036753,0.156752
50.000000,-0.640175,0.994559,-0.023696
50.500000,-0.626100,0.951307,-0.216791
51.000000,-0.611392,0.907136,-0.423277
51.500000,-0.596052,0.862188,-0.643980
52.000000,-0.580086,0.816616,-0.879822
52.500000,-0.563497,0.770577,-1.131837
53.000000,-0.546291,0.724238,-1.401188
53.500000,-0.528474,0.677768,-1.689189
54.000000,-0.510055,0.631345,-1.997334
54.500000,-0.491040,0.585149,-2.327334
55.000000,-0.471439,0.539367,-2.681156
55.500000,-0.451263,0.494188,-3.061081
56.000000,-0.430521,0.449803,-3.469773
56.500000,-0.409227,0.406409,-3.910372
57.000000,-0.387394,0.364199,-4.386614
57.500000,-0.365034,0.323371,-4.902992
58.000000,-0.342164,0.284120,-5.464981
58.500000,-0.318799,0.246641,-6.079340
59.000000,-0.294955,0.211127,-6.754554
59.500000,-0.270651,0.177767,-7.501479
60.000000,-0.245905,0.146747,-8.334319
60.500000,-0.220737,0.118245,-9.272159
61.000000,-0.195168,0.092438,-10.341504
61.500000,-0.169218,0.069491,-11.580713
62.000000,-0.142912,0.049564,-13.048321
62.500000,-0.116270,0.032807,-14.840288
63.000000,-0.089319,0.019361,-17.130792
63.500000,-0.062082,0.009353,-20.290296
64.000000,-0.034586,0.002903,-25.371554
64.500000,-0.006858,0.000114,-39.426256
65.000000,0.021077,0.001078,-29.673563
65.500000,0.049189,0.005872,-22.312351
66.000000,0.077449,0.014557,-18.369297
66.500000,0.105830,0.027180,-15.657519
67.000000,0.134299,0.043770,-13.588192
67.500000,0.162828,0.064341,-11.915093
68.000000,0.191384,0.088889,-10.511543
68.500000,0.219937,0.117390,-9.303703
69.000000,0.248454,0.149805,-8.244749
69.500000,0.276903,0.186075,-7.303118
70.000000,0.305251,0.226124,-6.456527
70.500000,0.333465,0.269857,-5.688657
71.000000,0.361512,0.317161,-4.987203
71.500000,0.389359,0.367903,-4.342661
72.000000,0.416972,0.421936,-3.747536
72.500000,0.444317,0.479091,-3.195816
73.000000,0.471360,0.539187,-2.682609
73.500000,0.498069,0.602022,-2.203879
74.000000,0.524409,0.667381,-1.756262
74.500000,0.550348,0.735034,-1.336924
75.000000,0.575851,0.804737,-0.943459
75.500000,0.600887,0.876233,-0.573805
76.000000,0.625423,0.949252,-0.226185
76.500000,0.649427,1.023515,0.100941
77.000000,0.672867,1.098732,0.408918
77.500000,0.695712,1.174607,0.698925
78.000000,0.717932,1.250835,0.971999
78.500000,0.739497,1.327106,1.229057
79.000000,0.760377,1.403108,1.470912
79.500000,0.780545,1.478526,1.698288
80.000000,0.799972,1.553041,1.911831
80.500000,0.818633,1.626341,2.112115
81.000000,0.836501,1.698110,2.299659
81.500000,0.853551,1.768042,2.474925
82.000000,0.869761,1.835832,2.638328
82.500000,0.885106,1.901184,2.790241
83.000000,0.899566,1.963812,2.930998
83.500000,0.913121,2.023438,3.060899
84.000000,0.925751,2.079799,3.180213
84.500000,0.937437,2.132642,3.289179
85.000000,0.948165,2.181730,3.388010
85.500000,0.957918,2.226843,3.476896
86.000000,0.966682,2.267777,3.556003
86.500000,0.974445,2.304346,3.625476
87.000000,0.981195,2.336384,3.685442
87.500000,0.986924,2.363745,3.736006
88.000000,0.991622,2.386304,3.777258
88.500000,0.995284,2.403958,3.809269
89.000000,0.997903,2.416626,3.832095
89.500000,0.999475,2.424251,3.845775
90.000000,1.000000,2.426796,3.850333
90.500000,0.999475,2.424251,3.845775
91.000000,0.997903,2.416626,3.832095
91.500000,0.995284,2.403958,3.809269
92.000000,0.991622,2.386304,3.777258
92.500000,0.986924,2.363745,3.736006
93.000000,0.981195,2.336384,3.685442
93.500000,0.974445,2.304346,3.625476
94.000000,0.966682,2.267777,3.556003
94.500000,0.957918,2.226843,3.476896
95.000000,0.948165,2.181730,3.388010
95.500000,0.937437,2.132642,3.289179
96.000000,0.925751,2.079799,3.180213
96.500000,0.913121,2.023438,3.060899
97.000000,0.899566,1.963812,2.930998
97.500000,0.885106,1.901184,2.790241
98.000000,0.869761,1.835832,2.638328
98.500000,0.853551,1.768042,2.474925
99.000000,0.836501,1.698110,2.299659
99.500000,0.818633,1.626341,2.112115
100.000000,0.799972,1.553041,1.911831
100.500000,0.780545,1.478526,1.698288
101.000000,0.760377,1.403108,1.470912
101.500000,0.739497,1.327106,1.229057
102.000000,0.717932,1.250835,0.971999
102.500000,0.695712,1.174607,0.698925
103.000000,0.672867,1.098732,0.408918
103.500000,0.649427,1.023515,0.100941
104.000000,0.625423,0.949252,-0.226185
104.500000,0.600887,0.876233,-0.573805
105.000000,0.575851,0.804737,-0.943459
105.500000,0.550348,0.735034,-1.336924
106.000000,0.524409,0.667381,-1.756262
106.500000,0.498069,0.602022,-2.203879
107.000000,0.471360,0.539187,-2.682609
107.500000,0.444317,0.479091,-3.195816
108.000000,0.416972,0.421936,-3.747536
108.500000,0.389359,0.367903,-4.342661
109.000000,0.361512,0.317161,-4.987203
109.500000,0.333465,0.269857,-5.688657
110.000000,0.305251,0.226124,-6.456527
110.500000,0.276903,0.186075,-7.303118
111.000000,0.248454,0.149805,-8.244749
111.500000,0.219937,0.117390,-9.303703
112.000000,0.191384,0.088889,-10.511543
112.500000,0.162828,0.064341,-11.915093
113.000000,0.134299,0.043770,-13.588192
113.500000,0.105830,0.027180,-15.657519
114.000000,0.077449,0.014557,-18.369297
114.500000,0.049189,0.005872,-22.312351
115.000000,0.021077,0.001078,-29.673563
115.500000,-0.006858,0.000114,-39.426256
116.000000,-0.034586,0.002903,-25.371554
116.500000,-0.062082,0.009353,-20.290296
117.000000,-0.089319,0.019361,-17.130792
117.500000,-0.116270,0.032807,-14.840288
118.000000,-0.142912,0.049564,-13.048321
118.500000,-0.169218,0.069491,-11.580713
119.000000,-0.195168,0.092438,-10.341504
119.500000,-0.220737,0.118245,-9.272159
120.000000,-0.245905,0.146747,-8.334319
120.500000,-0.270651,0.177767,-7.501479
121.000000,-0.294955,0.211127,-6.754554
121.500000,-0.318799,0.246641,-6.079340
122.000000,-0.342164,0.284120,-5.464981
122.500000,-0.365034,0.323371,-4.902992
123.000000,-0.387394,0.364199,-4.386614
123.500000,-0.409227,0.406409,-3.910372
124.000000,-0.430521,0.449803,-3.469773
124.500000,-0.451263,0.494188,-3.061081
125.000000,-0.471439,0.539367,-2.681156
125.500000,-0.491040,0.585149,-2.327334
126.000000,-0.510055,0.631345,-1.997334
126.500000,-0.528474,0.677768,-1.689189
127.000000,-0.546291,0.724238,-1.401188
127.500000,-0.563497,0.770577,-1.131837
128.000000,-0.580086,0.816616,-0.879822
128.500000,-0.596052,0.862188,-0.643980
129.000000,-0.611392,0.907136,-0.423277
129.500000,-0.626100,0.951307,-0.216791
130.000000,-0.640175,0.994559,-0.023696
130.500000,-0.653613,1.036753,0.156752
131.000000,-0.666415,1.077761,0.325226
131.500000,-0.678578,1.117464,0.482335
132.000000,-0.690105,1.155748,0.628631
132.500000,-0.700994,1.192510,0.764619
133.000000,-0.711249,1.227654,0.890760
133.500000,-0.720870,1.261095,1.007477
134.000000,-0.729863,1.292754,1.115157
134.500000,-0.738229,1.322561,1.214158
135.000000,-0.745974,1.350457,1.304807
135.500000,-0.753102,1.376388,1.387408
136.000000,-0.759618,1.400310,1.462243
136.500000,-0.765529,1.422188,1.529571
137.000000,-0.770841,1.441994,1.589633
137.500000,-0.775561,1.459706,1.642653
138.000000,-0.779696,1.475312,1.688839
138.500000,-0.783254,1.488807,1.728383
139.000000,-0.786243,1.500191,1.761466
139.500000,-0.788671,1.509473,1.788254
140.000000,-0.790548,1.516667,1.808902
140.500000,-0.791883,1.521793,1.823555
141.000000,-0.792685,1.524877,1.832347
141.500000,-0.792964,1.525950,1.835402
142.000000,-0.792730,1.525048,1.832836
142.500000,-0.791993,1.522213,1.824755
143.000000,-0.790763,1.517490,1.811258
143.500000,-0.789051,1.510927,1.792436
144.000000,-0.786868,1.502579,1.768373
144.500000,-0.784225,1.492500,1.739144
145.000000,-0.781132,1.480751,1.704820
145.500000,-0.777600,1.467392,1.665462
146.000000,-0.773641,1.452489,1.621128
146.500000,-0.769266,1.436106,1.571865
147.000000,-0.764486,1.418312,1.517719
147.500000,-0.759311,1.399177,1.458726
148.000000,-0.753753,1.378769,1.394916
148.500000,-0.747824,1.357162,1.326316
149.000000,-0.741533,1.334425,1.252943
149.500000,-0.734893,1.310633,1.174809
150.000000,-0.727913,1.285856,1.091922
150.500000,-0.720605,1.260167,1.004281
151.000000,-0.712980,1.233638,0.911879
151.500000,-0.705048,1.206341,0.814702
152.000000,-0.696819,1.178347,0.712730
152.500000,-0.688304,1.149724,0.605937
153.000000,-0.679513,1.120543,0.494286
153.500000,-0.670456,1.090872,0.377736
154.000000,-0.661143,1.060776,0.256236
154.500000,-0.651583,1.030321,0.129727
155.000000,-0.641786,0.999572,-0.001859
155.500000,-0.631762,0.968590,-0.138600
156.000000,-0.621519,0.937436,-0.280582
156.500000,-0.611066,0.906170,-0.427903
157.000000,-0.600412,0.874848,-0.580673
157.500000,-0.589566,0.843526,-0.739014
158.000000,-0.578536,0.812258,-0.903060
158.500000,-0.567330,0.781095,-1.072959
159.000000,-0.555955,0.750088,-1.248877
159.500000,-0.544420,0.719285,-1.430993
160.000000,-0.532731,0.688731,-1.619507
160.500000,-0.520897,0.658471,-1.814636
161.000000,-0.508923,0.628547,-2.016622
161.500000,-0.496818,0.599000,-2.225729
162.000000,-0.484586,0.569869,-2.442246
162.500000,-0.472236,0.541191,-2.666493
163.000000,-0.459772,0.513000,-2.898823
163.500000,-0.447201,0.485331,-3.139621
164.000000,-0.434528,0.458214,-3.389317
164.500000,-0.421759,0.431680,-3.648384
165.000000,-0.408899,0.405756,-3.917345
165.500000,-0.395954,0.380471,-4.196783
166.000000,-0.382927,0.355849,-4.487345
166.500000,-0.369825,0.331913,-4.789754
167.000000,-0.356650,0.308687,-5.104818
167.500000,-0.343409,0.286191,-5.433445
168.000000,-0.330104,0.264444,-5.776661
168.500000,-0.316739,0.243466,-6.135624
169.000000,-0.303320,0.223272,-6.511652
169.500000,-0.289848,0.203880,-6.906252
170.000000,-0.276328,0.185304,-7.321157
170.500000,-0.262763,0.167557,-7.758368
171.000000,-0.249157,0.150653,-8.220218
171.500000,-0.235511,0.134603,-8.709444
172.000000,-0.221829,0.119418,-9.229286
172.500000,-0.208115,0.105109,-9.783616
173.000000,-0.194369,0.091683,-10.377112
173.500000,-0.180596,0.079150,-11.015498
174.000000,-0.166797,0.067517,-11.705881
174.500000,-0.152976,0.056791,-12.457228
175.000000,-0.139133,0.046978,-13.281081
175.500000,-0.125271,0.038083,-14.192644
176.000000,-0.111393,0.030113,-15.212510
176.500000,-0.097500,0.023070,-16.369560
177.000000,-0.083595,0.016959,-17.706093
177.500000,-0.069678,0.011782,-19.287697
178.000000,-0.055753,0.007544,-21.224251
178.500000,-0.041821,0.004244,-23.721750
179.000000,-0.027884,0.001887,-27.242666
179.500000,-0.013943,0.000472,-33.262722
180.000000,0.000000,0.000000,-100.000000
